date,adjusted close,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv
01/18/2023,391.49,01/18/2023,359,P,A,0.01,0,0,-1,2,1411,391.45
01/18/2023,391.49,01/18/2023,360,C,A,32.02,30.83,31.425,-1,2,7,391.45
01/18/2023,391.49,01/18/2023,360,P,A,0.01,0,0,-1,11,6529,391.45
01/18/2023,391.49,01/18/2023,361,C,A,31.02,29.83,30.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,361,P,A,0.01,0,0,-1,3,108,391.45
01/18/2023,391.49,01/18/2023,362,C,A,30.02,28.83,29.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,362,P,A,0.01,0,0,-1,0,891,391.45
01/18/2023,391.49,01/18/2023,363,C,A,29.02,27.83,28.425,-1,1,1,391.45
01/18/2023,391.49,01/18/2023,363,P,A,0.01,0,0,-1,0,2481,391.45
01/18/2023,391.49,01/18/2023,364,C,A,28.02,26.83,27.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,364,P,A,0.01,0,0,-1,2,5140,391.45
01/18/2023,391.49,01/18/2023,365,C,A,27.02,25.83,26.425,-1,0,3,391.45
01/18/2023,391.49,01/18/2023,365,P,A,0.01,0,0,-1,46,3181,391.45
01/18/2023,391.49,01/18/2023,366,C,A,26.02,24.83,25.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,366,P,A,0.01,0,0,-1,1,316,391.45
01/18/2023,391.49,01/18/2023,367,C,A,25.02,23.83,24.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,367,P,A,0.01,0,0,-1,0,212,391.45
01/18/2023,391.49,01/18/2023,368,C,A,24.02,22.83,23.425,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,368,P,A,0.01,0,0,-1,0,275,391.45
01/18/2023,391.49,01/18/2023,369,C,A,23.02,21.83,22.425,-1,9,9,391.45
01/18/2023,391.49,01/18/2023,369,P,A,0.01,0,0,-1,12,563,391.45
01/18/2023,391.49,01/18/2023,370,C,A,22.02,20.83,21.425,-1,8,24,391.45
01/18/2023,391.49,01/18/2023,370,P,A,0.01,0,0,-1,10,3801,391.45
01/18/2023,391.49,01/18/2023,371,C,A,21.02,19.83,20.425,-1,0,1,391.45
01/18/2023,391.49,01/18/2023,371,P,A,0.01,0,0,-1,20,2274,391.45
01/18/2023,391.49,01/18/2023,372,C,A,20.02,18.83,19.425,-1,0,9,391.45
01/18/2023,391.49,01/18/2023,372,P,A,0.01,0,0,-1,14,14024,391.45
01/18/2023,391.49,01/18/2023,373,C,A,19.02,17.83,18.425,-1,28,30,391.45
01/18/2023,391.49,01/18/2023,373,P,A,0.01,0,0,-1,44,936,391.45
01/18/2023,391.49,01/18/2023,374,C,A,18.02,16.83,17.425,-1,2,4,391.45
01/18/2023,391.49,01/18/2023,374,P,A,0.01,0,0,-1,107,810,391.45
01/18/2023,391.49,01/18/2023,375,C,A,17.02,15.83,16.425,-1,2,13,391.45
01/18/2023,391.49,01/18/2023,375,P,A,0.01,0,0,-1,18,1924,391.45
01/18/2023,391.49,01/18/2023,376,C,A,16.02,14.83,15.425,-1,7,32,391.45
01/18/2023,391.49,01/18/2023,376,P,A,0.01,0,0,-1,6,666,391.45
01/18/2023,391.49,01/18/2023,377,C,A,15.02,13.83,14.425,-1,2,46,391.45
01/18/2023,391.49,01/18/2023,377,P,A,0.01,0,0,-1,12,3128,391.45
01/18/2023,391.49,01/18/2023,378,C,A,14.02,12.83,13.425,-1,3,1060,391.45
01/18/2023,391.49,01/18/2023,378,P,A,0.01,0,0,-1,16,1564,391.45
01/18/2023,391.49,01/18/2023,379,C,A,13.02,11.83,12.425,-1,11,1261,391.45
01/18/2023,391.49,01/18/2023,379,P,A,0.01,0,0,-1,28,3688,391.45
01/18/2023,391.49,01/18/2023,380,C,A,12.02,10.83,11.425,-1,102,1189,391.45
01/18/2023,391.49,01/18/2023,380,P,A,0.01,0,0,-1,70,7094,391.45
01/18/2023,391.49,01/18/2023,381,C,A,11.02,9.83,10.425,-1,11,855,391.45
01/18/2023,391.49,01/18/2023,381,P,A,0.01,0,0,-1,72,2988,391.45
01/18/2023,391.49,01/18/2023,382,C,A,10.02,8.83,9.425,-1,71,799,391.45
01/18/2023,391.49,01/18/2023,382,P,A,0.01,0,0,-1,66,3022,391.45
01/18/2023,391.49,01/18/2023,383,C,A,9.02,7.83,8.425,-1,27,568,391.45
01/18/2023,391.49,01/18/2023,383,P,A,0.01,0,0,-1,12956,3331,391.45
01/18/2023,391.49,01/18/2023,384,C,A,8.02,6.83,7.425,-1,46,1019,391.45
01/18/2023,391.49,01/18/2023,384,P,A,0.01,0,0,-1,9327,3496,391.45
01/18/2023,391.49,01/18/2023,385,C,A,7.03,5.83,6.43,-1,147,1140,391.45
01/18/2023,391.49,01/18/2023,385,P,A,0.01,0,0,-1,10401,4715,391.45
01/18/2023,391.49,01/18/2023,386,C,A,6.03,4.83,5.43,-1,144,982,391.45
01/18/2023,391.49,01/18/2023,386,P,A,0.01,0,0,-1,9812,4783,391.45
01/18/2023,391.49,01/18/2023,387,C,A,5.03,3.83,4.43,-1,211,3703,391.45
01/18/2023,391.49,01/18/2023,387,P,A,0.01,0,0,-1,5767,4710,391.45
01/18/2023,391.49,01/18/2023,388,C,A,4.02,2.83,3.425,-1,414,6128,391.45
01/18/2023,391.49,01/18/2023,388,P,A,0.01,0,0,-1,10553,6818,391.45
01/18/2023,391.49,01/18/2023,389,C,A,3.03,1.83,2.43,-1,507,3586,391.45
01/18/2023,391.49,01/18/2023,389,P,A,0.01,0,0,-1,17009,6342,391.45
01/18/2023,391.49,01/18/2023,390,C,A,2.03,0.85,1.44,-1,5165,1892,391.45
01/18/2023,391.49,01/18/2023,390,P,A,0.01,0,0,-1,53325,10167,391.45
01/18/2023,391.49,01/18/2023,391,C,A,0.64,0.04,0.34,-1,12048,1709,391.45
01/18/2023,391.49,01/18/2023,391,P,A,0.02,0.01,0.015,-1,187997,6989,391.45
01/18/2023,391.49,01/18/2023,392,C,A,0.02,0.01,0.015,-1,65421,1121,391.45
01/18/2023,391.49,01/18/2023,392,P,A,0.65,0.53,0.59,-1,331858,10054,391.45
01/18/2023,391.49,01/18/2023,393,C,A,0.01,0,0,-1,148138,2380,391.45
01/18/2023,391.49,01/18/2023,393,P,A,1.66,1.51,1.585,-1,337896,8290,391.45
01/18/2023,391.49,01/18/2023,394,C,A,0.01,0,0,-1,276813,4080,391.45
01/18/2023,391.49,01/18/2023,394,P,A,2.76,2.38,2.57,-1,275365,13034,391.45
01/18/2023,391.49,01/18/2023,395,C,A,0.01,0,0,-1,248337,4421,391.45
01/18/2023,391.49,01/18/2023,395,P,A,4.07,3.36,3.715,-1,195803,23984,391.45
01/18/2023,391.49,01/18/2023,396,C,A,0.01,0,0,-1,198914,5235,391.45
01/18/2023,391.49,01/18/2023,396,P,A,5.15,3.97,4.56,-1,119196,10468,391.45
01/18/2023,391.49,01/18/2023,397,C,A,0.01,0,0,-1,144527,8347,391.45
01/18/2023,391.49,01/18/2023,397,P,A,6.15,5,5.575,-1,152507,12375,391.45
01/18/2023,391.49,01/18/2023,398,C,A,0.01,0,0,-1,141638,13958,391.45
01/18/2023,391.49,01/18/2023,398,P,A,7.13,6.05,6.59,-1,163777,17401,391.45
01/18/2023,391.49,01/18/2023,399,C,A,0.01,0,0,-1,194664,15153,391.45
01/18/2023,391.49,01/18/2023,399,P,A,8.15,7.1,7.625,-1,146279,8813,391.45
01/18/2023,391.49,01/18/2023,400,C,A,0.01,0,0,-1,316527,15174,391.45
01/18/2023,391.49,01/18/2023,400,P,A,9.17,7.97,8.57,-1,47540,5047,391.45
01/18/2023,391.49,01/18/2023,401,C,A,0.01,0,0,-1,113834,8446,391.45
01/18/2023,391.49,01/18/2023,401,P,A,10.17,8.97,9.57,-1,8192,1791,391.45
01/18/2023,391.49,01/18/2023,402,C,A,0.01,0,0,-1,72354,9954,391.45
01/18/2023,391.49,01/18/2023,402,P,A,11.17,9.97,10.57,-1,1076,580,391.45
01/18/2023,391.49,01/18/2023,403,C,A,0.01,0,0,-1,46382,16686,391.45
01/18/2023,391.49,01/18/2023,403,P,A,12.17,10.97,11.57,-1,485,177,391.45
01/18/2023,391.49,01/18/2023,404,C,A,0.01,0,0,-1,20203,8501,391.45
01/18/2023,391.49,01/18/2023,404,P,A,13.17,11.97,12.57,-1,778,225,391.45
01/18/2023,391.49,01/18/2023,405,C,A,0.01,0,0,-1,14017,10447,391.45
01/18/2023,391.49,01/18/2023,405,P,A,14.17,12.97,13.57,-1,487,165,391.45
01/18/2023,391.49,01/18/2023,406,C,A,0.01,0,0,-1,7370,6210,391.45
01/18/2023,391.49,01/18/2023,406,P,A,15.17,13.97,14.57,-1,170,93,391.45
01/18/2023,391.49,01/18/2023,407,C,A,0.01,0,0,-1,5923,4729,391.45
01/18/2023,391.49,01/18/2023,407,P,A,16.17,14.97,15.57,-1,33,17,391.45
01/18/2023,391.49,01/18/2023,408,C,A,0.01,0,0,-1,2376,3838,391.45
01/18/2023,391.49,01/18/2023,408,P,A,17.17,15.97,16.57,-1,21,17,391.45
01/18/2023,391.49,01/18/2023,409,C,A,0.01,0,0,-1,738,2599,391.45
01/18/2023,391.49,01/18/2023,409,P,A,18.17,16.97,17.57,-1,145,40,391.45
01/18/2023,391.49,01/18/2023,410,C,A,0.01,0,0,-1,979,7559,391.45
01/18/2023,391.49,01/18/2023,410,P,A,19.17,17.97,18.57,-1,50,9,391.45
01/18/2023,391.49,01/18/2023,411,C,A,0.01,0,0,-1,63,9109,391.45
01/18/2023,391.49,01/18/2023,411,P,A,20.17,18.97,19.57,-1,2,0,391.45
01/18/2023,391.49,01/18/2023,412,C,A,0.01,0,0,-1,39,1922,391.45
01/18/2023,391.49,01/18/2023,412,P,A,21.17,19.97,20.57,-1,0,16,391.45
01/18/2023,391.49,01/18/2023,413,C,A,0.01,0,0,-1,15,2075,391.45
01/18/2023,391.49,01/18/2023,413,P,A,22.17,20.97,21.57,-1,2,0,391.45
01/18/2023,391.49,01/18/2023,414,C,A,0.01,0,0,-1,1,1021,391.45
01/18/2023,391.49,01/18/2023,414,P,A,23.17,21.97,22.57,-1,6,0,391.45
01/18/2023,391.49,01/18/2023,415,C,A,0.01,0,0,-1,2,1171,391.45
01/18/2023,391.49,01/18/2023,415,P,A,24.17,22.97,23.57,-1,0,11,391.45
01/18/2023,391.49,01/18/2023,416,C,A,0.01,0,0,-1,1,384,391.45
01/18/2023,391.49,01/18/2023,416,P,A,25.17,23.97,24.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,417,C,A,0.01,0,0,-1,3,405,391.45
01/18/2023,391.49,01/18/2023,417,P,A,26.17,24.97,25.57,-1,4,0,391.45
01/18/2023,391.49,01/18/2023,418,C,A,0.01,0,0,-1,1,326,391.45
01/18/2023,391.49,01/18/2023,418,P,A,27.17,25.97,26.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,419,C,A,0.01,0,0,-1,3,283,391.45
01/18/2023,391.49,01/18/2023,419,P,A,28.17,26.97,27.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,420,C,A,0.01,0,0,-1,2,875,391.45
01/18/2023,391.49,01/18/2023,420,P,A,29.17,27.97,28.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,421,C,A,0.01,0,0,-1,1,40,391.45
01/18/2023,391.49,01/18/2023,421,P,A,30.17,28.97,29.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,422,C,A,0.01,0,0,-1,1,355,391.45
01/18/2023,391.49,01/18/2023,422,P,A,31.17,29.97,30.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,423,C,A,0.01,0,0,-1,1,282,391.45
01/18/2023,391.49,01/18/2023,423,P,A,32.17,30.97,31.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,424,C,A,0.01,0,0,-1,0,297,391.45
01/18/2023,391.49,01/18/2023,424,P,A,33.17,31.97,32.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,425,C,A,0.01,0,0,-1,0,57,391.45
01/18/2023,391.49,01/18/2023,425,P,A,34.17,32.97,33.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,426,C,A,0.01,0,0,-1,0,50,391.45
01/18/2023,391.49,01/18/2023,426,P,A,35.17,33.97,34.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,427,C,A,0.01,0,0,-1,0,156,391.45
01/18/2023,391.49,01/18/2023,427,P,A,36.17,34.97,35.57,-1,1,1,391.45
01/18/2023,391.49,01/18/2023,428,C,A,0.01,0,0,-1,0,248,391.45
01/18/2023,391.49,01/18/2023,428,P,A,37.17,35.97,36.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,429,C,A,0.01,0,0,-1,0,696,391.45
01/18/2023,391.49,01/18/2023,429,P,A,38.17,36.97,37.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,430,C,A,0.01,0,0,-1,0,700,391.45
01/18/2023,391.49,01/18/2023,430,P,A,39.17,37.97,38.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,431,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,431,P,A,40.17,38.97,39.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,432,C,A,0.01,0,0,-1,0,6,391.45
01/18/2023,391.49,01/18/2023,432,P,A,41.17,39.97,40.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,433,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,433,P,A,42.17,40.97,41.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,434,C,A,0.01,0,0,-1,0,3,391.45
01/18/2023,391.49,01/18/2023,434,P,A,43.17,41.97,42.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,435,C,A,0.01,0,0,-1,0,2,391.45
01/18/2023,391.49,01/18/2023,435,P,A,44.17,42.97,43.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,436,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,436,P,A,45.17,43.97,44.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,437,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,437,P,A,46.17,44.97,45.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,438,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,438,P,A,47.17,45.97,46.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,439,C,A,0.01,0,0,-1,0,327,391.45
01/18/2023,391.49,01/18/2023,439,P,A,48.17,46.97,47.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,440,C,A,0.01,0,0,-1,1,5,391.45
01/18/2023,391.49,01/18/2023,440,P,A,49.17,47.97,48.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,441,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,441,P,A,50.16,48.97,49.565,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,442,C,A,0.01,0,0,-1,0,1,391.45
01/18/2023,391.49,01/18/2023,442,P,A,51.17,49.97,50.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,443,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,443,P,A,52.17,50.97,51.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,444,C,A,0.01,0,0,-1,0,250,391.45
01/18/2023,391.49,01/18/2023,444,P,A,53.17,51.97,52.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,445,C,A,0.01,0,0,-1,1,22,391.45
01/18/2023,391.49,01/18/2023,445,P,A,54.17,52.97,53.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,446,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,446,P,A,55.17,53.97,54.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,447,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,447,P,A,56.17,54.97,55.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,448,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,448,P,A,57.17,55.97,56.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,449,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,449,P,A,58.17,56.97,57.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,450,C,A,0.01,0,0,-1,0,500,391.45
01/18/2023,391.49,01/18/2023,450,P,A,59.17,57.97,58.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,451,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,451,P,A,60.17,58.97,59.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,452,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,452,P,A,61.17,59.97,60.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,453,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,453,P,A,62.17,60.97,61.57,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,454,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,454,P,A,63.16,61.97,62.565,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,455,C,A,0.01,0,0,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,455,P,A,64.16,62.97,63.565,-1,0,0,391.45
01/18/2023,391.49,01/18/2023,460,C,A,0.01,0,0,-1,2,0,391.45
01/18/2023,391.49,01/18/2023,460,P,A,69.16,67.97,68.565,-1,0,0,391.45
01/18/2023,391.49,01/19/2023,320,C,A,71.62,71.44,71.53,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,320,P,A,0.01,0,0,0.832747,0,49,391.45
01/18/2023,391.49,01/19/2023,330,C,A,61.63,61.44,61.535,0.832747,0,17,391.45
01/18/2023,391.49,01/19/2023,330,P,A,0.01,0,0,0.832747,0,664,391.45
01/18/2023,391.49,01/19/2023,331,C,A,60.63,60.44,60.535,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,331,P,A,0.01,0,0,0.832747,0,10,391.45
01/18/2023,391.49,01/19/2023,332,C,A,59.63,59.44,59.535,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,332,P,A,0.01,0,0,0.832747,2,10,391.45
01/18/2023,391.49,01/19/2023,333,C,A,58.63,58.44,58.535,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,333,P,A,0.01,0,0,0.832747,0,590,391.45
01/18/2023,391.49,01/19/2023,334,C,A,57.63,57.44,57.535,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,334,P,A,0.01,0,0,0.832747,0,190,391.45
01/18/2023,391.49,01/19/2023,335,C,A,56.63,56.45,56.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,335,P,A,0.01,0,0,0.832747,0,309,391.45
01/18/2023,391.49,01/19/2023,336,C,A,55.63,55.45,55.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,336,P,A,0.01,0,0,0.832747,0,311,391.45
01/18/2023,391.49,01/19/2023,337,C,A,54.63,54.45,54.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,337,P,A,0.01,0,0,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,338,C,A,53.63,53.45,53.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,338,P,A,0.01,0,0,0.832747,1,422,391.45
01/18/2023,391.49,01/19/2023,339,C,A,52.63,52.45,52.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,339,P,A,0.01,0,0,0.832747,0,500,391.45
01/18/2023,391.49,01/19/2023,340,C,A,51.63,51.45,51.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,340,P,A,0.01,0,0,0.832747,0,47,391.45
01/18/2023,391.49,01/19/2023,341,C,A,50.63,50.45,50.54,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,341,P,A,0.01,0,0,0.832747,0,503,391.45
01/18/2023,391.49,01/19/2023,342,C,A,49.62,49.45,49.535,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,342,P,A,0.01,0,0,0.832747,0,125,391.45
01/18/2023,391.49,01/19/2023,343,C,A,48.62,48.45,48.535,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,343,P,A,0.01,0,0,0.832747,0,496,391.45
01/18/2023,391.49,01/19/2023,344,C,A,47.64,47.45,47.545,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,344,P,A,0.01,0,0,0.832747,0,239,391.45
01/18/2023,391.49,01/19/2023,345,C,A,46.64,46.45,46.545,0.832747,0,0,391.45
01/18/2023,391.49,01/19/2023,345,P,A,0.01,0,0,0.832747,0,435,391.45
